                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2286,                 2.7746,                0.87905,                0.61002,                0.24995,                0.26554,                0.17935,                 1.0933,                  1.071,                0.85405,              0.0033313,              0.0033313,              0.0033313
                      2,                 1.1644,                 1.1467,                0.86641,                0.64602,                 0.3301,                0.38623,                0.26732,                  1.025,                0.88634,                0.84556,              0.0063347,              0.0063347,              0.0063347
                      3,                 1.1716,                 1.0578,                 0.8681,                0.64321,                0.31134,                0.38292,                0.25932,                  1.064,                0.92325,                0.85547,              0.0090082,              0.0090082,              0.0090082
                      4,                 1.1536,                 1.0102,                0.86654,                0.66625,                0.39904,                0.48747,                0.34404,                0.98718,                0.78785,                0.84221,               0.008515,               0.008515,               0.008515
                      5,                 1.0999,                0.90625,                0.85795,                0.67437,                0.43735,                0.54839,                0.39118,                0.95934,                0.70761,                0.83665,               0.008515,               0.008515,               0.008515
                      6,                 1.0597,                0.83939,                0.85086,                0.67651,                0.52197,                0.60202,                0.43216,                0.92727,                0.65344,                0.83189,                0.00802,                0.00802,                0.00802
                      7,                 1.0396,                0.79634,                0.84795,                0.70105,                0.54672,                0.63942,                0.46694,                0.90113,                0.61441,                 0.8281,               0.007525,               0.007525,               0.007525
                      8,                 1.0159,                0.76132,                0.84503,                 0.6968,                0.61327,                0.69666,                0.50926,                0.88593,                0.58067,                0.82519,                0.00703,                0.00703,                0.00703
                      9,                0.99584,                0.72687,                0.84147,                0.73321,                0.61839,                 0.7151,                0.52795,                0.87031,                 0.5579,                0.82258,               0.006535,               0.006535,               0.006535
                     10,                 0.9831,                 0.7071,                0.83962,                0.77565,                0.59396,                0.72144,                0.53554,                0.86303,                0.54388,                0.82107,                0.00604,                0.00604,                0.00604
                     11,                0.97509,                0.69341,                0.84256,                0.73669,                0.65001,                0.73116,                0.54358,                0.86567,                0.54096,                 0.8216,               0.005545,               0.005545,               0.005545
                     12,                0.96156,                0.67062,                0.83969,                 0.7407,                0.65603,                0.73854,                0.55317,                0.85618,                0.53024,                0.82036,                0.00505,                0.00505,                0.00505
                     13,                0.94729,                0.64512,                0.83737,                0.77742,                0.62995,                0.74715,                0.55995,                0.84884,                0.51861,                0.81897,               0.004555,               0.004555,               0.004555
                     14,                0.93476,                0.62541,                0.83672,                0.78634,                0.66333,                0.75666,                 0.5645,                0.84267,                0.50798,                 0.8174,                0.00406,                0.00406,                0.00406
                     15,                 0.9213,                0.60344,                0.83215,                0.78014,                0.68884,                0.77523,                0.57852,                0.83549,                0.49781,                0.81608,               0.003565,               0.003565,               0.003565
                     16,                0.90939,                0.58523,                0.83099,                0.78368,                0.69029,                0.78474,                0.58926,                0.83034,                0.49069,                0.81547,                0.00307,                0.00307,                0.00307
                     17,                0.89627,                 0.5638,                0.82995,                0.79527,                0.68255,                0.78754,                0.58796,                0.82708,                0.48473,                0.81499,               0.002575,               0.002575,               0.002575
                     18,                0.88182,                0.54365,                0.82764,                 0.8094,                0.68052,                0.79554,                0.59652,                0.82292,                0.47898,                0.81426,                0.00208,                0.00208,                0.00208
                     19,                0.86895,                0.52343,                0.82487,                0.72898,                0.74172,                0.80036,                0.60049,                0.82093,                0.47454,                0.81372,               0.001585,               0.001585,               0.001585
                     20,                0.85652,                0.50374,                0.82381,                0.74297,                0.74024,                0.80417,                0.60305,                0.81819,                0.47114,                0.81323,                0.00109,                0.00109,                0.00109
