                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1535,                   4.49,                0.97724,                 0.5627,                 0.2661,                0.27611,                0.19881,                 1.0197,                 1.0792,                0.95462,              0.0033327,              0.0033327,              0.0033327
                      2,                 1.0983,                 1.8223,                0.97182,                0.60485,                0.35284,                0.39769,                0.29127,                0.99183,                0.84682,                0.95162,              0.0063361,              0.0063361,              0.0063361
                      3,                  1.094,                 1.0834,                0.97418,                0.63671,                0.44812,                0.47696,                0.34772,                  0.981,                0.75668,                0.94652,              0.0090094,              0.0090094,              0.0090094
                      4,                  1.077,                0.93864,                0.97018,                0.67205,                0.52614,                0.57096,                0.42226,                0.95978,                0.67869,                0.93918,               0.008515,               0.008515,               0.008515
                      5,                 1.0436,                0.84034,                0.95966,                0.71887,                0.57134,                 0.6356,                0.47142,                0.94329,                0.62581,                0.93263,               0.008515,               0.008515,               0.008515
                      6,                 1.0221,                0.77796,                 0.9505,                0.75022,                0.60161,                0.67948,                0.50751,                0.92903,                0.58959,                0.92593,                0.00802,                0.00802,                0.00802
                      7,                 1.0087,                0.74603,                0.94469,                0.73508,                0.65452,                0.70391,                0.52928,                0.91925,                0.56853,                0.92148,               0.007525,               0.007525,               0.007525
                      8,                 0.9947,                0.71271,                0.94037,                0.74272,                0.65327,                0.72386,                0.54646,                0.91156,                0.55047,                0.91853,                0.00703,                0.00703,                0.00703
                      9,                0.98292,                0.68478,                0.93494,                0.78697,                0.65914,                 0.7526,                0.57067,                0.90495,                0.53466,                 0.9157,               0.006535,               0.006535,               0.006535
                     10,                0.97493,                0.66843,                0.93142,                0.81338,                0.67626,                0.77095,                0.58386,                0.89719,                0.52316,                0.91308,                0.00604,                0.00604,                0.00604
                     11,                0.97563,                0.65573,                0.94632,                0.82213,                0.67995,                0.77648,                0.58955,                0.89635,                0.51754,                 0.9126,               0.005545,               0.005545,               0.005545
                     12,                0.96611,                0.63584,                0.94409,                0.80721,                0.70347,                0.79194,                0.60169,                0.89492,                 0.5118,                0.91185,                0.00505,                0.00505,                0.00505
                     13,                0.95668,                0.61862,                 0.9407,                 0.8271,                0.70864,                0.79657,                0.60666,                0.89202,                0.50578,                0.91069,               0.004555,               0.004555,               0.004555
                     14,                0.94841,                0.60118,                0.93581,                0.78743,                0.72938,                0.79724,                0.60865,                0.88862,                0.50076,                 0.9093,                0.00406,                0.00406,                0.00406
                     15,                0.94137,                0.58525,                0.93404,                0.78089,                0.74119,                 0.7995,                0.61075,                0.88642,                0.49622,                 0.9084,               0.003565,               0.003565,               0.003565
                     16,                0.93008,                0.56792,                  0.931,                 0.7933,                 0.7362,                0.80512,                0.61428,                0.88446,                0.49204,                0.90758,                0.00307,                0.00307,                0.00307
                     17,                0.92142,                0.55271,                0.92813,                0.78304,                0.74679,                0.81011,                0.61918,                0.88216,                0.48804,                0.90696,               0.002575,               0.002575,               0.002575
                     18,                0.91343,                0.53748,                0.92432,                0.79726,                 0.7347,                0.81184,                0.62136,                0.88081,                0.48499,                0.90647,                0.00208,                0.00208,                0.00208
                     19,                 0.9022,                0.51906,                0.92072,                0.79906,                0.73587,                0.81641,                0.62579,                0.87943,                0.48211,                0.90579,               0.001585,               0.001585,               0.001585
                     20,                0.89268,                0.50282,                0.91653,                0.81094,                 0.7301,                0.81824,                0.62838,                0.87824,                0.47948,                0.90531,                0.00109,                0.00109,                0.00109
