                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3885,                 4.1233,                0.90188,                0.67198,                0.12505,                0.12706,                0.08534,                   1.19,                 1.4412,                0.86905,              0.0033298,              0.0033298,              0.0033298
                      2,                 1.2671,                 2.3822,                0.88511,                0.55389,                0.21553,                0.23128,                 0.1523,                 1.1361,                 1.1809,                0.86741,              0.0063333,              0.0063333,              0.0063333
                      3,                 1.2527,                 1.6129,                0.88407,                0.54472,                 0.2366,                0.26608,                0.17433,                 1.1478,                 1.1954,                0.87193,              0.0090068,              0.0090068,              0.0090068
                      4,                 1.2153,                 1.1898,                0.87858,                0.54193,                 0.3546,                0.37967,                0.26254,                 1.0435,                0.93749,                0.85299,               0.008515,               0.008515,               0.008515
                      5,                 1.1534,                 1.0354,                0.86886,                0.55241,                0.40143,                0.43187,                0.29711,                 1.0082,                0.85506,                0.84323,               0.008515,               0.008515,               0.008515
                      6,                 1.1174,                0.95383,                0.86067,                0.66384,                0.39126,                0.49688,                 0.3492,                0.98352,                0.76742,                0.83814,                0.00802,                0.00802,                0.00802
                      7,                  1.091,                0.90386,                0.85632,                0.68423,                0.44265,                0.54578,                0.38845,                0.95358,                0.71051,                0.83459,               0.007525,               0.007525,               0.007525
                      8,                 1.0707,                 0.8637,                0.85302,                0.63141,                0.52239,                0.57844,                0.41723,                0.93349,                0.67258,                0.83132,                0.00703,                0.00703,                0.00703
                      9,                  1.053,                0.83039,                0.85045,                0.70714,                0.49588,                0.60309,                0.44005,                0.91555,                0.64471,                0.82778,               0.006535,               0.006535,               0.006535
                     10,                 1.0397,                0.80445,                 0.8479,                0.66703,                 0.5444,                0.62683,                0.45448,                0.90577,                0.62083,                0.82699,                0.00604,                0.00604,                0.00604
                     11,                 1.0207,                0.77695,                0.84861,                0.71153,                0.53191,                0.63194,                0.46197,                 0.9051,                0.61636,                0.82669,               0.005545,               0.005545,               0.005545
                     12,                 1.0059,                0.74944,                0.84853,                0.74299,                0.53666,                0.64027,                 0.4693,                 0.8935,                0.59923,                0.82519,                0.00505,                0.00505,                0.00505
                     13,                0.99312,                  0.728,                0.84514,                0.72709,                0.56536,                0.65919,                0.48144,                0.88809,                0.58558,                0.82373,               0.004555,               0.004555,               0.004555
                     14,                0.98056,                0.70615,                0.84353,                0.75141,                0.56594,                0.67269,                0.49443,                0.88128,                0.57492,                0.82264,                0.00406,                0.00406,                0.00406
                     15,                  0.968,                0.68123,                0.84013,                0.71112,                0.59819,                0.68354,                0.50293,                0.87529,                0.56448,                 0.8217,               0.003565,               0.003565,               0.003565
                     16,                0.95786,                0.66249,                0.83925,                0.73826,                0.59921,                0.68574,                0.50703,                0.87095,                0.55573,                0.82105,                0.00307,                0.00307,                0.00307
                     17,                0.94542,                0.63903,                0.83652,                0.74084,                0.60417,                0.69223,                0.51185,                0.86797,                0.54957,                0.82061,               0.002575,               0.002575,               0.002575
                     18,                0.93102,                0.61736,                0.83438,                0.71266,                0.61794,                0.69472,                0.51191,                0.86508,                0.54531,                0.82002,                0.00208,                0.00208,                0.00208
                     19,                0.91814,                 0.5961,                0.83224,                0.71406,                0.62689,                0.70233,                 0.5173,                0.86291,                0.54148,                0.81953,               0.001585,               0.001585,               0.001585
                     20,                0.90589,                0.57711,                0.83082,                0.72414,                0.63267,                0.70368,                0.51832,                0.86115,                0.53801,                0.81909,                0.00109,                0.00109,                0.00109
