                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2137,                 2.8687,                0.87962,                0.60981,                0.26727,                0.28251,                0.19235,                 1.0499,                0.99708,                0.84983,              0.0033314,              0.0033314,              0.0033314
                      2,                 1.1372,                 1.0752,                0.86321,                0.57141,                0.37226,                0.40542,                0.28277,                 1.0007,                0.83837,                0.84419,              0.0063349,              0.0063349,              0.0063349
                      3,                 1.1476,                 1.0292,                0.86626,                0.62118,                0.32916,                 0.4021,                0.27705,                 1.0374,                0.91196,                 0.8499,              0.0090083,              0.0090083,              0.0090083
                      4,                 1.1318,                 0.9849,                0.86428,                0.62228,                 0.4507,                0.49164,                0.34594,                0.96932,                0.76306,                0.83895,               0.008515,               0.008515,               0.008515
                      5,                 1.0753,                0.87593,                0.85456,                0.63949,                0.49806,                0.57004,                0.41294,                0.93128,                0.68968,                0.83256,               0.008515,               0.008515,               0.008515
                      6,                 1.0398,                0.81256,                0.84969,                0.67339,                0.52775,                0.62787,                0.45803,                0.90765,                0.63399,                0.82811,                0.00802,                0.00802,                0.00802
                      7,                 1.0134,                0.76524,                0.84529,                0.74578,                 0.5432,                0.67888,                0.50168,                 0.8879,                0.59583,                0.82455,               0.007525,               0.007525,               0.007525
                      8,                0.99203,                0.72613,                0.84103,                0.72337,                0.61511,                0.70407,                0.51783,                0.86919,                0.56402,                0.82226,                0.00703,                0.00703,                0.00703
                      9,                0.97016,                0.69696,                0.83834,                0.78258,                0.58648,                0.72152,                 0.5352,                0.85888,                 0.5406,                0.82023,               0.006535,               0.006535,               0.006535
                     10,                0.96128,                0.67379,                0.83685,                0.71723,                0.66351,                0.74499,                0.55309,                0.84711,                0.52039,                0.81848,                0.00604,                0.00604,                0.00604
                     11,                 0.9532,                0.66046,                0.83871,                0.76173,                0.64623,                0.75689,                0.56551,                0.84585,                0.51874,                0.81906,               0.005545,               0.005545,               0.005545
                     12,                0.94002,                 0.6351,                0.83757,                0.76104,                0.65918,                0.76939,                0.57308,                0.83874,                0.50492,                0.81784,                0.00505,                0.00505,                0.00505
                     13,                0.92742,                0.61734,                0.83479,                0.75922,                0.68619,                 0.7744,                0.57924,                0.83213,                0.49588,                0.81652,               0.004555,               0.004555,               0.004555
                     14,                0.91577,                0.59441,                0.83261,                0.81103,                0.66362,                0.78576,                 0.5881,                0.82584,                0.48592,                0.81555,                0.00406,                0.00406,                0.00406
                     15,                0.90396,                0.57332,                0.83091,                0.79806,                0.69795,                0.80009,                0.60058,                0.82039,                0.47864,                0.81474,               0.003565,               0.003565,               0.003565
                     16,                0.89168,                0.55297,                0.82963,                0.73667,                0.75281,                0.80612,                 0.6038,                0.81613,                0.47158,                0.81409,                0.00307,                0.00307,                0.00307
                     17,                0.87679,                0.53256,                0.82647,                0.80191,                0.70656,                0.81196,                0.61016,                0.81275,                 0.4657,                0.81356,               0.002575,               0.002575,               0.002575
                     18,                0.86311,                0.51519,                0.82476,                0.80237,                0.72035,                0.82237,                 0.6198,                0.80985,                0.46102,                0.81316,                0.00208,                0.00208,                0.00208
                     19,                0.85107,                0.49441,                0.82325,                0.81634,                0.72339,                0.82739,                0.62333,                  0.807,                0.45701,                0.81265,               0.001585,               0.001585,               0.001585
                     20,                0.83411,                0.47247,                0.82025,                0.79494,                0.75753,                0.83163,                0.62737,                 0.8049,                0.45381,                0.81224,                0.00109,                0.00109,                0.00109
